fa_atr,fa_rep,fa_sol,fa_intra_atr_xover4,fa_intra_rep_xover4,fa_intra_sol_xover4,lk_ball,lk_ball_iso,lk_ball_bridge,lk_ball_bridge_uncpl,fa_elec,fa_intra_elec,pro_close,hbond_sr_bb,hbond_lr_bb,hbond_bb_sc,hbond_sc,dslf_fa13,omega,fa_dun_dev,fa_dun_rot,fa_dun_semi,p_aa_pp,hxl_tors,ref,rama_prepro,total_score,all_cst,corrected_ddg,L_SASA,substrate_SASA,H2O_hbond,O2_hbond,oxy_hbond,cms,cms_per_atom,sc,nlr_dE,nlr_totrms,nlr_SR1_rms,nlr_SR2_rms,nlr_SR3_rms,score_per_res,description
-1473.75,214.907,1074.176,-88.636,77.902,65.045,652.318,1610.152,6.179,41.939,-521.556,-70.749,1.546,-129.369,-65.495,-32.612,-33.854,0.0,56.805,46.055,154.903,300.121,-103.506,45.014,-52.696,21.746,-790.51,0.614,-19.355,0.125,38.875,0.0,1.0,0.0,253.11,6.49,0.71,9.402,0.603,0.446,0.267,0.587,-3.1,zn_hydrolase_PSZ_H_H_H_1_63_0_0-atomized-bb-False_0_inp_4_0_10_model_4_ptm_seed_0_unrelaxed_PSZ_1_0
-1474.952,216.517,1064.687,-89.36,78.996,64.892,649.104,1603.499,6.245,42.87,-514.399,-70.943,1.551,-129.24,-64.535,-32.329,-31.24,0.0,57.852,49.302,156.758,295.953,-105.758,44.95,-52.188,18.888,-791.85,0.852,-19.903,0.128,44.968,0.0,0.0,0.0,267.005,6.846,0.719,12.015,0.486,1.303,0.438,0.596,-3.105,zn_hydrolase_PSZ_H_H_H_1_63_0_0-atomized-bb-False_0_inp_4_0_10_model_4_ptm_seed_0_unrelaxed_PSZ_1_1
-1479.345,218.32,1067.04,-88.164,79.179,63.106,652.0,1608.229,6.114,42.042,-517.816,-72.688,1.52,-129.285,-64.445,-32.293,-34.767,0.0,60.445,46.833,154.186,292.432,-106.625,48.044,-49.88,18.897,-801.136,0.372,-21.099,0.147,47.411,0.0,2.0,1.0,247.577,6.348,0.772,14.41,0.754,0.497,0.379,1.65,-3.142,zn_hydrolase_PSZ_H_H_H_1_63_0_0-atomized-bb-False_0_inp_4_0_10_model_4_ptm_seed_0_unrelaxed_PSZ_1_2
-1473.1,217.278,1055.946,-87.79,81.725,62.807,646.485,1599.367,5.836,40.677,-511.155,-70.961,1.532,-128.977,-64.878,-32.119,-31.651,0.0,59.887,46.482,157.4,283.681,-108.33,48.098,-48.069,18.201,-799.092,0.427,-18.703,0.148,50.069,0.0,2.0,1.0,251.871,6.458,0.603,12.038,0.557,0.688,0.303,1.633,-3.134,zn_hydrolase_PSZ_H_H_H_1_63_0_0-atomized-bb-False_0_inp_4_0_10_model_4_ptm_seed_0_unrelaxed_PSZ_1_3
-1474.886,221.109,1058.674,-88.719,75.864,63.144,645.646,1598.709,6.129,41.94,-515.46,-67.057,1.526,-130.312,-63.586,-29.778,-34.169,0.0,59.155,51.029,157.417,292.528,-102.187,44.023,-49.984,20.502,-792.915,0.891,-19.886,0.115,36.049,0.0,1.0,0.0,260.341,6.675,0.771,13.062,0.581,0.439,0.399,1.739,-3.109,zn_hydrolase_PSZ_H_H_H_1_63_0_0-atomized-bb-False_0_inp_4_0_10_model_4_ptm_seed_0_unrelaxed_PSZ_1_4
-1471.479,218.205,1051.285,-88.599,77.751,63.049,644.425,1593.265,5.718,39.829,-512.055,-67.668,1.56,-130.063,-64.352,-29.575,-32.613,0.0,59.731,50.006,162.032,284.851,-105.572,43.679,-43.73,18.672,-791.556,0.521,-19.943,0.133,49.521,0.0,1.0,0.0,253.364,6.497,0.751,13.417,0.593,0.0,0.409,1.678,-3.104,zn_hydrolase_PSZ_H_H_H_1_63_0_0-atomized-bb-False_0_inp_4_0_10_model_4_ptm_seed_0_unrelaxed_PSZ_1_5
-1481.412,216.854,1059.216,-89.727,76.611,65.927,636.986,1603.909,5.994,43.449,-499.888,-73.447,1.428,-130.497,-67.498,-28.643,-27.078,0.0,53.721,55.976,153.166,299.02,-103.778,47.212,-54.416,30.821,-790.677,0.275,-18.403,0.158,51.218,0.0,1.0,0.0,247.998,6.359,0.639,8.378,0.651,0.064,1.461,1.613,-3.101,zn_hydrolase_PSZ_H_H_H_1_63_0_0-atomized-bb-False_0_inp_4_0_10_model_4_ptm_seed_0_unrelaxed_PSZ_1_6
-1477.394,213.585,1058.645,-89.301,76.396,64.571,638.743,1600.906,5.418,38.983,-490.174,-71.353,1.458,-129.944,-67.192,-24.979,-26.864,0.0,52.443,56.775,157.768,298.176,-103.48,47.465,-54.86,31.659,-765.884,0.479,-16.442,0.147,58.515,0.0,2.0,1.0,249.774,6.404,0.651,5.921,0.748,0.473,1.358,1.604,-3.003,zn_hydrolase_PSZ_H_H_H_1_63_0_0-atomized-bb-False_0_inp_4_0_10_model_4_ptm_seed_0_unrelaxed_PSZ_1_7
-1472.037,223.304,1043.826,-89.793,80.16,64.13,638.775,1592.504,6.101,42.128,-501.87,-69.935,1.503,-131.696,-64.14,-32.627,-29.482,0.0,51.32,48.367,158.039,295.931,-105.453,45.471,-43.477,24.173,-789.537,1.46,-18.659,0.193,65.989,0.0,1.0,0.0,235.154,6.03,0.702,6.13,0.94,0.0,1.625,0.516,-3.096,zn_hydrolase_PSZ_H_H_H_1_63_0_0-atomized-bb-False_0_inp_4_0_10_model_4_ptm_seed_0_unrelaxed_PSZ_1_8
-1471.724,226.699,1046.831,-89.247,79.885,64.342,639.923,1594.868,5.863,40.848,-498.853,-69.309,1.538,-132.069,-64.655,-30.717,-27.86,0.0,53.698,47.919,155.285,305.461,-105.016,44.192,-43.428,19.594,-773.835,2.773,-18.664,0.172,62.729,0.0,1.0,0.0,250.823,6.431,0.683,3.131,0.961,0.329,1.649,0.429,-3.035,zn_hydrolase_PSZ_H_H_H_1_63_0_0-atomized-bb-False_0_inp_4_0_10_model_4_ptm_seed_0_unrelaxed_PSZ_1_9
-1510.53,222.786,1086.091,-90.732,152.994,61.643,650.275,1617.772,6.709,43.255,-514.324,-71.309,2.051,-136.963,-67.328,-40.87,-18.174,0.0,63.869,52.151,164.249,312.988,-96.918,40.619,-67.722,61.078,-746.324,2.033,-27.754,0.097,20.395,0.0,1.0,0.0,270.428,6.934,0.839,-26.631,0.787,1.672,1.434,0.751,-2.904,zn_hydrolase_PSZ_H_H_H_1_63_0_0-atomized-bb-False_0_inp_2_0_3_model_4_ptm_seed_0_unrelaxed_PSZ_0_0
-1508.915,224.276,1082.681,-90.853,154.384,61.537,648.793,1614.523,6.3,40.284,-510.684,-71.69,2.399,-137.385,-67.399,-39.128,-18.125,0.0,62.454,50.405,167.317,320.383,-94.321,36.388,-69.964,69.137,-735.428,3.613,-26.182,0.12,19.882,0.0,1.0,0.0,269.241,6.904,0.788,-31.671,0.785,1.58,0.521,0.847,-2.862,zn_hydrolase_PSZ_H_H_H_1_63_0_0-atomized-bb-False_0_inp_2_0_3_model_4_ptm_seed_0_unrelaxed_PSZ_0_1
-1509.19,216.477,1093.885,-90.635,76.648,61.004,652.153,1619.175,6.528,41.987,-524.562,-67.594,2.092,-136.517,-67.632,-39.663,-23.479,0.0,62.327,49.573,166.805,303.023,-97.998,35.774,-76.892,65.105,-812.959,3.192,-28.201,0.136,18.593,0.0,2.0,1.0,252.205,6.467,0.777,20.035,0.331,1.603,0.676,0.541,-3.163,zn_hydrolase_PSZ_H_H_H_1_63_0_0-atomized-bb-False_0_inp_2_0_3_model_4_ptm_seed_0_unrelaxed_PSZ_0_2
-1507.991,221.481,1081.279,-89.913,75.794,61.55,648.105,1613.521,6.638,41.956,-512.384,-72.812,2.271,-137.063,-67.789,-39.213,-21.225,0.0,65.199,50.244,160.467,302.35,-97.915,40.649,-72.007,66.091,-806.426,2.762,-26.106,0.111,19.69,0.0,2.0,1.0,266.923,6.844,0.743,18.209,0.43,1.613,1.379,0.875,-3.138,zn_hydrolase_PSZ_H_H_H_1_63_0_0-atomized-bb-False_0_inp_2_0_3_model_4_ptm_seed_0_unrelaxed_PSZ_0_3
-1528.231,221.169,1098.689,-92.815,76.872,64.885,654.138,1633.491,6.001,39.944,-515.074,-74.34,1.989,-136.591,-65.963,-39.12,-20.991,0.0,67.242,50.519,165.486,316.612,-93.216,35.727,-65.249,65.26,-791.119,3.41,-23.858,0.103,16.289,0.0,2.0,1.0,273.208,7.005,0.694,13.681,0.49,1.66,1.272,0.754,-3.078,zn_hydrolase_PSZ_H_H_H_1_63_0_0-atomized-bb-False_0_inp_2_0_3_model_4_ptm_seed_0_unrelaxed_PSZ_0_4
-1522.874,224.242,1094.114,-91.529,77.06,64.036,650.805,1626.585,5.896,38.852,-517.059,-73.168,2.011,-136.847,-66.106,-39.231,-20.623,0.0,58.522,56.004,159.366,315.828,-95.542,32.54,-69.363,70.181,-801.002,3.045,-24.031,0.116,17.814,0.0,2.0,1.0,265.588,6.81,0.7,15.456,0.474,1.628,1.32,0.418,-3.117,zn_hydrolase_PSZ_H_H_H_1_63_0_0-atomized-bb-False_0_inp_2_0_3_model_4_ptm_seed_0_unrelaxed_PSZ_0_5
-1517.787,221.084,1107.76,-92.197,75.702,64.706,656.901,1630.025,6.335,42.89,-521.377,-74.079,2.178,-136.381,-67.034,-37.931,-23.042,0.0,65.356,52.357,166.25,310.098,-94.965,35.245,-78.199,66.811,-794.465,3.861,-26.363,0.115,15.232,0.0,2.0,1.0,280.726,7.198,0.675,16.22,0.496,1.595,1.621,0.894,-3.091,zn_hydrolase_PSZ_H_H_H_1_63_0_0-atomized-bb-False_0_inp_2_0_3_model_4_ptm_seed_0_unrelaxed_PSZ_0_6
-1514.695,220.484,1104.895,-91.709,73.526,64.481,656.269,1626.591,6.318,42.658,-522.045,-74.391,2.227,-136.225,-67.38,-38.481,-22.911,0.0,64.91,51.087,161.79,311.791,-94.814,37.593,-79.915,66.86,-798.634,3.95,-25.917,0.115,15.508,0.0,2.0,1.0,262.498,6.731,0.638,14.607,0.4,1.587,1.62,0.877,-3.108,zn_hydrolase_PSZ_H_H_H_1_63_0_0-atomized-bb-False_0_inp_2_0_3_model_4_ptm_seed_0_unrelaxed_PSZ_0_7
-1519.761,223.347,1096.732,-92.307,75.523,63.259,651.218,1623.055,6.063,39.707,-494.655,-75.017,1.947,-138.301,-64.097,-38.61,-20.174,0.0,62.106,55.263,170.875,315.988,-96.05,36.512,-79.03,59.7,-775.843,2.403,-22.637,0.093,17.047,0.0,2.0,1.0,291.707,7.48,0.686,15.108,0.333,1.63,0.393,1.682,-3.019,zn_hydrolase_PSZ_H_H_H_1_63_0_0-atomized-bb-False_0_inp_2_0_3_model_4_ptm_seed_0_unrelaxed_PSZ_0_8
-1533.081,224.713,1108.788,-91.838,72.497,63.894,656.32,1636.33,6.225,39.829,-499.096,-73.124,2.012,-137.118,-64.796,-38.582,-19.899,0.0,58.745,53.857,166.983,323.836,-94.454,31.318,-81.107,59.729,-784.743,3.017,-22.758,0.085,13.742,0.0,2.0,1.0,309.912,7.946,0.711,11.674,0.31,1.617,0.526,0.898,-3.053,zn_hydrolase_PSZ_H_H_H_1_63_0_0-atomized-bb-False_0_inp_2_0_3_model_4_ptm_seed_0_unrelaxed_PSZ_0_9
-1537.635,225.751,1105.42,-91.547,77.934,63.126,656.766,1639.712,6.621,42.257,-518.85,-72.544,2.0,-136.424,-66.706,-38.111,-20.863,0.0,63.071,57.972,162.758,315.162,-100.086,35.845,-74.093,68.371,-804.92,3.647,-28.56,0.086,15.991,0.0,2.0,1.0,267.774,6.866,0.855,21.25,0.296,1.625,1.573,0.326,-3.132,zn_hydrolase_PSZ_H_H_H_1_63_0_0-atomized-bb-False_0_inp_2_0_3_model_4_ptm_seed_0_unrelaxed_PSZ_1_0
-1531.847,221.94,1101.812,-91.468,77.624,62.19,655.254,1634.926,6.413,41.264,-519.532,-69.968,2.476,-136.372,-67.774,-37.402,-18.828,0.0,62.349,55.289,166.345,310.461,-96.607,35.847,-71.815,71.303,-798.094,2.756,-26.551,0.096,16.448,0.0,2.0,1.0,277.827,7.124,0.829,17.494,0.313,1.638,1.465,0.332,-3.105,zn_hydrolase_PSZ_H_H_H_1_63_0_0-atomized-bb-False_0_inp_2_0_3_model_4_ptm_seed_0_unrelaxed_PSZ_1_1
-1536.3,224.07,1107.295,-92.132,80.773,62.453,654.54,1637.727,6.473,41.401,-517.773,-67.973,2.214,-136.996,-67.504,-36.843,-18.539,0.0,63.091,55.616,167.903,311.12,-96.341,37.012,-76.999,70.816,-794.244,2.743,-24.81,0.101,17.551,0.0,2.0,1.0,275.323,7.06,0.827,15.016,0.567,1.638,1.479,0.332,-3.09,zn_hydrolase_PSZ_H_H_H_1_63_0_0-atomized-bb-False_0_inp_2_0_3_model_4_ptm_seed_0_unrelaxed_PSZ_1_2
-1537.178,223.727,1116.435,-91.241,76.364,63.726,658.428,1648.146,6.645,42.773,-518.691,-73.807,2.58,-137.023,-67.187,-38.256,-19.37,0.0,64.602,55.274,159.745,321.322,-95.621,35.875,-77.334,71.234,-794.151,2.731,-26.537,0.094,15.715,0.0,2.0,1.0,267.229,6.852,0.84,16.802,0.315,1.636,1.492,0.33,-3.09,zn_hydrolase_PSZ_H_H_H_1_63_0_0-atomized-bb-False_0_inp_2_0_3_model_4_ptm_seed_0_unrelaxed_PSZ_1_3
-1528.684,222.179,1111.026,-91.034,76.8,63.368,656.602,1640.348,6.533,42.853,-514.441,-74.824,2.455,-137.165,-67.254,-38.272,-17.51,0.0,62.446,55.475,161.509,321.666,-95.271,35.931,-78.735,70.298,-786.711,2.783,-26.503,0.09,15.435,0.0,2.0,1.0,266.951,6.845,0.83,18.33,0.342,1.64,1.478,1.463,-3.061,zn_hydrolase_PSZ_H_H_H_1_63_0_0-atomized-bb-False_0_inp_2_0_3_model_4_ptm_seed_0_unrelaxed_PSZ_1_4
-1530.04,222.835,1098.299,-91.453,77.253,62.206,654.095,1632.999,6.504,41.724,-511.784,-71.94,2.438,-137.344,-67.318,-38.226,-18.395,0.0,62.037,55.67,163.118,312.823,-98.698,35.874,-71.015,69.477,-797.033,2.81,-26.348,0.095,16.247,0.0,2.0,1.0,271.214,6.954,0.831,16.763,0.309,1.639,1.471,0.329,-3.101,zn_hydrolase_PSZ_H_H_H_1_63_0_0-atomized-bb-False_0_inp_2_0_3_model_4_ptm_seed_0_unrelaxed_PSZ_1_5
-1529.016,222.257,1097.209,-91.422,77.176,62.178,653.333,1631.93,6.484,41.522,-511.745,-72.117,2.45,-137.246,-67.338,-38.271,-18.451,0.0,62.428,55.816,163.111,313.322,-98.7,35.856,-70.576,69.309,-796.814,2.767,-26.404,0.095,16.148,0.0,2.0,1.0,273.72,7.018,0.832,16.839,0.309,1.639,1.469,0.329,-3.1,zn_hydrolase_PSZ_H_H_H_1_63_0_0-atomized-bb-False_0_inp_2_0_3_model_4_ptm_seed_0_unrelaxed_PSZ_1_6
-1523.473,224.545,1113.885,-91.505,78.042,63.895,654.94,1638.249,6.595,41.908,-505.384,-72.317,2.123,-137.253,-64.682,-38.597,-20.665,0.0,59.039,60.197,165.065,311.306,-96.862,30.707,-79.026,65.529,-779.514,3.229,-22.05,0.078,14.621,0.0,2.0,1.0,274.814,7.047,0.662,3.512,0.533,1.672,1.281,0.414,-3.033,zn_hydrolase_PSZ_H_H_H_1_63_0_0-atomized-bb-False_0_inp_2_0_3_model_4_ptm_seed_0_unrelaxed_PSZ_1_7
-1521.496,222.876,1109.587,-91.808,76.705,64.521,651.578,1634.701,6.197,40.328,-504.177,-73.615,2.249,-137.279,-65.523,-38.805,-19.149,0.0,56.469,58.764,163.349,314.615,-98.569,32.606,-75.343,59.604,-783.117,3.853,-19.785,0.084,16.35,0.0,1.0,0.0,260.639,6.683,0.557,7.211,0.478,1.689,1.41,0.802,-3.047,zn_hydrolase_PSZ_H_H_H_1_63_0_0-atomized-bb-False_0_inp_2_0_3_model_4_ptm_seed_0_unrelaxed_PSZ_1_8
-1500.084,213.95,1080.051,-91.336,85.117,65.363,668.297,1639.166,6.588,45.356,-529.854,-62.569,0.862,-134.481,-65.167,-35.731,-37.456,0.0,47.515,51.527,157.819,295.821,-89.556,35.604,-36.536,25.406,-804.705,6.384,-19.847,0.111,17.579,0.0,0.0,0.0,235.965,6.05,0.705,8.968,0.556,1.837,0.754,0.923,-3.156,zn_hydrolase_PSZ_H_H_H_1_63_0_0-atomized-bb-False_0_inp_4_0_9_model_4_ptm_seed_0_unrelaxed_PSZ_0_0
-1500.956,211.826,1085.288,-91.567,78.463,65.385,671.948,1642.182,6.618,45.328,-536.839,-65.473,0.851,-135.083,-64.471,-35.005,-40.512,0.0,53.031,52.225,156.735,300.245,-88.454,35.232,-35.224,24.933,-808.172,3.98,-19.586,0.128,26.596,0.0,0.0,0.0,231.671,5.94,0.761,8.381,0.515,1.851,0.827,0.8,-3.169,zn_hydrolase_PSZ_H_H_H_1_63_0_0-atomized-bb-False_0_inp_4_0_9_model_4_ptm_seed_0_unrelaxed_PSZ_0_1
-1508.254,215.531,1077.42,-90.785,76.96,65.097,671.069,1639.54,6.991,48.616,-535.431,-64.541,1.001,-135.625,-66.662,-35.56,-40.067,0.0,52.158,51.772,152.457,297.759,-85.453,35.698,-33.95,30.459,-822.55,3.184,-20.07,0.167,31.385,0.0,0.0,0.0,226.747,5.814,0.665,11.697,0.482,1.851,0.697,0.572,-3.226,zn_hydrolase_PSZ_H_H_H_1_63_0_0-atomized-bb-False_0_inp_4_0_9_model_4_ptm_seed_0_unrelaxed_PSZ_0_2
-1499.529,214.572,1065.216,-89.65,77.751,63.179,665.265,1629.785,6.624,46.258,-524.822,-64.27,0.988,-135.715,-66.26,-36.316,-36.302,0.0,52.133,54.271,156.227,290.223,-85.569,35.709,-32.763,29.653,-814.029,3.119,-20.151,0.177,29.854,0.0,0.0,0.0,221.559,5.681,0.667,13.076,0.612,1.879,0.767,0.467,-3.192,zn_hydrolase_PSZ_H_H_H_1_63_0_0-atomized-bb-False_0_inp_4_0_9_model_4_ptm_seed_0_unrelaxed_PSZ_0_3
-1496.122,224.085,1035.1,-92.38,81.915,64.374,648.783,1602.446,5.83,41.994,-517.233,-65.094,0.957,-138.343,-63.66,-33.469,-37.555,0.0,66.803,54.406,163.929,296.193,-98.596,35.504,-29.443,18.279,-822.435,4.062,-26.657,0.125,29.482,0.0,0.0,0.0,272.949,6.999,0.691,14.635,0.621,1.787,1.017,0.551,-3.225,zn_hydrolase_PSZ_H_H_H_1_63_0_0-atomized-bb-False_0_inp_4_0_9_model_4_ptm_seed_0_unrelaxed_PSZ_0_4
-1505.403,225.152,1052.613,-93.463,82.636,65.157,654.125,1615.652,5.898,42.483,-518.843,-63.773,0.984,-137.751,-64.23,-33.686,-38.351,0.0,64.912,54.126,160.323,300.692,-94.133,32.288,-26.838,20.883,-811.975,3.574,-24.964,0.106,21.311,0.0,0.0,0.0,268.016,6.872,0.702,14.949,0.543,1.854,0.873,0.651,-3.184,zn_hydrolase_PSZ_H_H_H_1_63_0_0-atomized-bb-False_0_inp_4_0_9_model_4_ptm_seed_0_unrelaxed_PSZ_0_5
-1494.697,223.941,1048.456,-91.694,83.673,63.286,653.57,1612.202,5.911,41.907,-519.382,-61.572,0.964,-136.486,-62.346,-34.714,-39.094,0.0,61.036,53.286,158.691,299.049,-97.138,34.945,-30.851,15.581,-812.427,4.136,-23.575,0.128,24.576,0.0,0.0,0.0,259.828,6.662,0.686,14.528,0.531,1.757,1.004,0.617,-3.186,zn_hydrolase_PSZ_H_H_H_1_63_0_0-atomized-bb-False_0_inp_4_0_9_model_4_ptm_seed_0_unrelaxed_PSZ_0_6
-1497.206,223.275,1056.86,-92.292,82.243,63.505,657.322,1619.487,5.487,40.044,-521.557,-63.014,0.959,-136.388,-64.722,-36.436,-37.519,0.0,65.286,52.997,157.266,301.862,-93.299,31.886,-29.631,18.983,-807.515,3.53,-25.832,0.129,24.895,0.0,0.0,0.0,252.265,6.468,0.746,16.967,0.537,1.743,1.113,0.799,-3.167,zn_hydrolase_PSZ_H_H_H_1_63_0_0-atomized-bb-False_0_inp_4_0_9_model_4_ptm_seed_0_unrelaxed_PSZ_0_7
-1516.841,219.762,1082.677,-91.016,81.508,63.795,669.753,1650.78,7.007,46.876,-529.862,-63.586,0.866,-133.618,-64.521,-33.999,-42.94,0.0,53.099,53.81,153.771,297.636,-94.027,35.467,-30.638,27.826,-819.012,7.615,-26.322,0.102,25.17,0.0,0.0,0.0,255.479,6.551,0.763,15.418,0.543,1.88,3.423,0.097,-3.212,zn_hydrolase_PSZ_H_H_H_1_63_0_0-atomized-bb-False_0_inp_4_0_9_model_4_ptm_seed_0_unrelaxed_PSZ_0_8
-1511.971,216.856,1080.068,-90.309,81.819,63.477,669.823,1647.859,6.818,45.249,-531.348,-64.587,0.833,-133.603,-64.424,-34.055,-42.627,0.0,52.199,52.227,154.045,294.537,-92.741,36.509,-30.55,27.411,-820.2,7.319,-25.144,0.089,17.811,0.0,0.0,0.0,244.029,6.257,0.734,12.408,0.572,1.883,3.416,0.136,-3.216,zn_hydrolase_PSZ_H_H_H_1_63_0_0-atomized-bb-False_0_inp_4_0_9_model_4_ptm_seed_0_unrelaxed_PSZ_0_9
-1509.947,222.359,1066.417,-93.844,86.688,65.204,662.412,1632.338,5.755,40.593,-530.705,-62.034,0.865,-135.455,-65.349,-36.475,-39.186,0.0,61.35,55.431,163.681,301.068,-91.87,39.231,-35.28,30.669,-806.31,3.444,-25.286,0.09,43.025,0.0,0.0,0.0,284.739,7.301,0.765,13.524,0.684,1.854,0.789,0.228,-3.162,zn_hydrolase_PSZ_H_H_H_1_63_0_0-atomized-bb-False_0_inp_4_0_9_model_4_ptm_seed_0_unrelaxed_PSZ_1_0
